Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
bl.birkbeck,Birkbeck Research Data (bl.birkbeck),0.08,0.14,0.11,0.10,0.10
pdc.ccin,Canadian Cryospheric Information Network (pdc.ccin),0.27,0.11,0.06,0.00,0.10
cdl.ucb,UC Berkeley (cdl.ucb),0.24,0.11,0.04,0.00,0.10
doe.nrel,DOE National Library of the Rockies (NLR) Repository (doe.nrel),0.16,0.21,0.01,0.02,0.10
noaa.library,National Oceanic and Atmospheric Administration (NOAA) - NOAA Central Library (noaa.library),0.08,0.15,0.06,0.11,0.10
wm.artsci,William & Mary School of Arts & Sciences (wm.artsci),0.07,0.26,0.11,0.05,0.10
umich.library,University of Michigan Library (umich.library),0.18,0.08,0.14,0.10,0.10
inist.ipsl,Institut Pierre-Simon Laplace (inist.ipsl),0.26,0.09,0.20,0.10,0.10
tib.uber,Universitätsbibliothek Erlangen-Nürnberg (tib.uber),0.23,0.11,0.12,0.02,0.10
tib.ubgi,Universitätsbibliothek Gießen (tib.ubgi),0.14,0.10,0.11,0.09,0.10
tib.ubovgu,Otto-von-Guericke-Universität Magdeburg (tib.ubovgu),0.06,0.26,0.09,0.10,0.10
inist.bcu,Université Clermont Auvergne (inist.bcu),0.30,0.44,0.17,0.10,0.10
ardcx.nci,National Computational Infrastructure (ardcx.nci),0.21,0.09,0.14,0.13,0.10
bl.standrew,University of St Andrews (bl.standrew),0.12,0.11,0.17,0.07,0.10
cul.ciesin,Center for International Earth Science Information Network (cul.ciesin),0.20,0.05,0.14,0.00,0.10
bl.brunel,Brunel University London (bl.brunel),0.13,0.21,0.03,0.00,0.10
ardcx.utas,University of Tasmania (ardcx.utas),0.18,0.15,0.11,0.09,0.10
bl.shef,ORDA - The University of Sheffield Research Data Catalogue and Repository (bl.shef),0.11,0.23,0.02,0.00,0.10
gmu.ulibry,George Mason University (gmu.ulibry),0.12,0.08,0.19,0.09,0.10
tib.rubhb,UB Bochum (tib.rubhb),0.21,0.12,0.10,0.06,0.10
inist.osug,Observatoire des Sciences de l'Univers de Grenoble (inist.osug),0.06,0.17,0.02,0.26,0.10
umass.uma,University of Massachusetts (UMass) Amherst (umass.uma),0.09,0.16,0.07,0.05,0.10
gesis.soep,Research Data Center of the Socio-Economic Panel Study at DIW Berlin (FDZ SOEP) (gesis.soep),0.15,0.17,0.11,0.01,0.10
bl.napier,Edinburgh Napier University (bl.napier),0.07,0.34,0.06,0.01,0.10
gesis.die-gdi,German Institute of Development and Sustainability (IDOS) (gesis.die-gdi),0.11,0.21,0.06,0.10,0.10
bl.lsbu,London Southbank University (bl.lsbu),0.14,0.16,0.07,0.10,0.10
latrobe.repo,La Trobe University (latrobe.repo),0.16,0.19,0.03,0.01,0.10
gesis.ubhg,University Library Hagen (UB Hagen) (gesis.ubhg),0.16,0.06,0.11,0.04,0.09
