Repository Name,Repository_ID
Società Italiana di e-Learning,crui.sie-l
National Institute of Oceanography and Applied Geophysics,crui.ogsts
Università degli Studi di Siena,crui.unisi
Libera Università di Bolzano,crui.unibz
Scuola Normale Superiore di Pisa,crui.sns
Università del Piemonte orientale “Amedeo Avogadro”,crui.uniupo
Università degli Studi di Camerino,crui.unicam
Università degli Studi di Catania,crui.unict
Politecnico di Bari,gttv.wyxfft
Lucca IMT,crui.imtlucca
Università degli Studi di Foggia,crui.unifg
ACTRIS-ARES Data Portal,cnrimaa.zpvlsk
Repository of Memofonte,crui.memofonte
University of L'Aquila,crui.univaq
Università degli Studi di Sassari,crui.uniss
Università Carlo Cattaneo - LIUC,crui.liuc
Libera Università Internazionale degli Studi Sociali Guido Carli di Roma,crui.luiss
Pisa Sant'Anna,sannapi.gdiima
Università degli Studi di Milano-Bicocca,crui.unimib
GNSS TCS,kjoy.mpxzii
Fondazione GEM,crui.gem
UNIVE,frnw.fuefjy
Societ� Italiana di Psicologia della Religione,crui.sipr
DspaceGlam installation,jwoq.kzbucp
Risorse multimediali scientifiche,uyey.doiesterni
Conferenza dei Rettori delle Università Italiane,crui.crui
EPOS ERIC,kjoy.ghswom
PNRR-GEO,wlym.pnrr-geo
TUNI Digital Preservation Services,buzq.pas
Tietoarkisto,buzq.zbmyto
Ministry of Culture and Education,csc.nrd
Boreal Environment Research Journal Archive,syke.ber
Aalto University,csc.aalto
METIS,bkmx.azjwzc
Digital Handbook of the History of Experience,buzq.hex
CSC SD,yykf.sds-x
The Finnish Environment Institute - Publication Archive,syke.dufdhc
Syke Data Repository,syke.datarepo
Psychology Archives,gesis.psycharc
GESIS Data Archive,gesis.gesis
Czech Social Science Data Archive,gesis.csda
AUSSDA - The Austrian Social Science Data Archive,gesis.aussda
Human Science Research Council SA,gesis.hsrc
Survey Research Data Archive,gesis.srda
Research Data Centres of the Statistical Offices of the Federation and the Federal States,gesis.fdz-sabl
Historical Social Research (HSR),vzek.hsr
ZBW Journal Data Archive,zbw.zbw-jda
Social Science Open Access Repository,vzek.ssoar
Deutsches Institut für Wirtschaftsforschung (DIW) Berlin,zbw.diw
